branch_trigger_threshold,branch_budget,num_cases,candidate_pool_recall_count,candidate_pool_recall,num_correct,accuracy,mean_selected_requests,mean_total_replayed_requests,median_total_replayed_requests,p90_total_replayed_requests,p95_total_replayed_requests,max_total_replayed_requests,triggered_case_count_by_probability,branch_cases_with_saved_rows,branch_rows_replayed,extra_roots_total,overrides_applied,candidate_pool_misses,misses
0.005379,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,17,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.006396,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,17,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.020835,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,15,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.023684,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,15,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.025,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,14,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.033872,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,14,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.036037,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,12,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.037945,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,11,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.05,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,11,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.057263,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,11,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.058586,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,10,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.075,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,9,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.09436,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,8,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.1,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,8,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.116507,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,7,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.128641,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,6,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.15,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,6,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.2,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,6,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.225,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,6,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.3,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,6,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.5,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,6,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.75,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,6,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.8,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,6,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.805,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,6,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.805796,2,49,49,1.0,48,0.9795918367346939,7.122448979591836,10.0,5.0,19.80000000000001,47.799999999999955,61.0,5,5,10,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.8058,2,49,49,1.0,48,0.9795918367346939,7.122448979591836,10.0,5.0,19.80000000000001,47.799999999999955,61.0,5,5,10,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.80585,2,49,49,1.0,48,0.9795918367346939,7.122448979591836,10.0,5.0,19.80000000000001,47.799999999999955,61.0,5,5,10,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.0,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,49,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
6e-06,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,48,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
1.4e-05,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,48,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
1.9e-05,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,47,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
2.6e-05,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,46,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
3.3e-05,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,45,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
8.7e-05,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,43,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.000164,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,43,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
