run_scope,policy_name,diagnostic_only,num_cases,accuracy,correct_count,top3_accuracy,top5_accuracy,macro_f1,mean_requests,median_requests,notebook13_accuracy,notebook13_correct_count,notebook13_top3_accuracy,notebook13_top5_accuracy,graph_only_accuracy,graph_only_correct_count,graph_only_top3_accuracy,graph_only_top5_accuracy,changed_predictions,overrides_fired,improvements_vs_notebook13,regressions_vs_notebook13,clip_value,margin_min,require_reference_negative,require_graph_positive
notebook13_49case,diagnostic_clip2_margin2,True,49,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,0,0,0,0,2.0,2.0,True,True
notebook13_49case,diagnostic_clip3_margin0,True,49,0.8979591836734694,44,0.9387755102040817,0.9591836734693877,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9795918367346939,2,2,1,0,3.0,0.0,True,True
notebook13_49case,diagnostic_clip3_margin0.5,True,49,0.8979591836734694,44,0.9387755102040817,0.9387755102040817,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9795918367346939,1,1,1,0,3.0,0.5,True,True
notebook13_49case,diagnostic_clip3_margin1_same_thresholds,True,49,0.8979591836734694,44,0.9387755102040817,0.9387755102040817,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9795918367346939,1,1,1,0,3.0,1.0,True,True
notebook13_49case,diagnostic_clip3_margin1.5,True,49,0.8979591836734694,44,0.9387755102040817,0.9387755102040817,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9795918367346939,1,1,1,0,3.0,1.5,True,True
notebook13_49case,diagnostic_clip3_margin2,True,49,0.8979591836734694,44,0.9387755102040817,0.9387755102040817,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9795918367346939,1,1,1,0,3.0,2.0,True,True
notebook13_49case,diagnostic_clip5_margin0,True,49,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9795918367346939,0.9795918367346939,2,2,1,0,5.0,0.0,True,True
notebook13_49case,diagnostic_clip5_margin0.5,True,49,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9795918367346939,0.9795918367346939,2,2,1,0,5.0,0.5,True,True
notebook13_49case,diagnostic_clip5_margin1,True,49,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9795918367346939,0.9795918367346939,2,2,1,0,5.0,1.0,True,True
notebook13_49case,diagnostic_clip5_margin1.5,True,49,0.8979591836734694,44,0.9387755102040817,0.9387755102040817,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9795918367346939,0.9795918367346939,1,1,1,0,5.0,1.5,True,True
notebook13_49case,diagnostic_clip5_margin2,True,49,0.8979591836734694,44,0.9387755102040817,0.9387755102040817,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9795918367346939,0.9795918367346939,1,1,1,0,5.0,2.0,True,True
notebook13_49case,diagnostic_clip10_margin0,True,49,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9795918367346939,0.9795918367346939,2,2,1,0,10.0,0.0,True,True
notebook13_49case,diagnostic_clip10_margin0.5,True,49,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9795918367346939,0.9795918367346939,2,2,1,0,10.0,0.5,True,True
notebook13_49case,diagnostic_clip10_margin1,True,49,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9795918367346939,0.9795918367346939,2,2,1,0,10.0,1.0,True,True
notebook13_49case,diagnostic_clip10_margin1.5,True,49,0.8979591836734694,44,0.9387755102040817,0.9387755102040817,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9795918367346939,0.9795918367346939,1,1,1,0,10.0,1.5,True,True
notebook13_49case,diagnostic_clip10_margin2,True,49,0.8979591836734694,44,0.9387755102040817,0.9387755102040817,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9795918367346939,0.9795918367346939,1,1,1,0,10.0,2.0,True,True
notebook13_24case,conservative_graph_critic_v1_clip3_margin1,False,24,0.9583333333333334,23,0.9583333333333334,0.9583333333333334,0.92,6.583333333333333,4.5,0.9166666666666666,22,0.9166666666666666,0.9166666666666666,0.9583333333333334,23,0.9583333333333334,0.9583333333333334,1,1,1,0,3.0,1.0,True,True
notebook13_24case,diagnostic_clip1_margin0,True,24,0.9166666666666666,22,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0.9166666666666666,22,0.9166666666666666,0.9166666666666666,0.9583333333333334,23,0.9583333333333334,0.9583333333333334,0,0,0,0,1.0,0.0,True,True
notebook13_24case,diagnostic_clip1_margin0.5,True,24,0.9166666666666666,22,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0.9166666666666666,22,0.9166666666666666,0.9166666666666666,0.9583333333333334,23,0.9583333333333334,0.9583333333333334,0,0,0,0,1.0,0.5,True,True
notebook13_24case,diagnostic_clip1_margin1,True,24,0.9166666666666666,22,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0.9166666666666666,22,0.9166666666666666,0.9166666666666666,0.9583333333333334,23,0.9583333333333334,0.9583333333333334,0,0,0,0,1.0,1.0,True,True
notebook13_24case,diagnostic_clip1_margin1.5,True,24,0.9166666666666666,22,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0.9166666666666666,22,0.9166666666666666,0.9166666666666666,0.9583333333333334,23,0.9583333333333334,0.9583333333333334,0,0,0,0,1.0,1.5,True,True
