cohort,policy_name,dataset_name,budget,split,num_workups,candidate_pool_recall_count,candidate_pool_recall,current_pool_recall_count,current_pool_recall,recoveries_vs_current_pool,lost_truth_vs_current_pool,mean_pool_size,median_pool_size,p90_pool_size,mean_pool_size_delta,mean_questions
transfer_old90,current_pool,rarebench,5,transfer,10,9,0.9,9,0.9,0,0,8.0,8.0,8.0,0.0,3.5
transfer_old90,current_pool,rarebench,10,transfer,10,9,0.9,9,0.9,0,0,8.0,8.0,8.0,0.0,5.4
transfer_old90,current_pool,rarebench,15,transfer,10,9,0.9,9,0.9,0,0,8.0,8.0,8.0,0.0,6.5
transfer_old90,saved_plus_ddx_bayes10,ALL,-1,ALL,90,89,0.9888888888888889,81,0.9,8,0,11.688888888888888,11.0,20.200000000000017,5.022222222222222,6.0777777777777775
transfer_old90,saved_plus_ddx_bayes10,ddxplus,5,ALL,10,10,1.0,7,0.7,3,0,19.0,19.0,23.1,11.0,5.0
transfer_old90,saved_plus_ddx_bayes10,ddxplus,10,ALL,10,10,1.0,8,0.8,2,0,19.9,19.0,25.2,11.9,9.0
transfer_old90,saved_plus_ddx_bayes10,ddxplus,15,ALL,10,10,1.0,9,0.9,1,0,20.7,21.0,24.2,12.7,11.4
transfer_old90,saved_plus_ddx_bayes10,icraft_md,5,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,3.2
transfer_old90,saved_plus_ddx_bayes10,icraft_md,10,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,4.6
transfer_old90,saved_plus_ddx_bayes10,icraft_md,15,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,6.1
transfer_old90,saved_plus_ddx_bayes10,rarebench,5,ALL,10,10,1.0,9,0.9,1,0,11.1,11.0,12.0,3.1,3.5
transfer_old90,saved_plus_ddx_bayes10,rarebench,10,ALL,10,9,0.9,9,0.9,0,0,11.3,11.0,12.2,3.3,5.4
transfer_old90,saved_plus_ddx_bayes10,rarebench,15,ALL,10,10,1.0,9,0.9,1,0,11.2,11.0,12.1,3.2,6.5
transfer_old90,saved_plus_ddx_bayes10,ALL,-1,transfer,90,89,0.9888888888888889,81,0.9,8,0,11.688888888888888,11.0,20.200000000000017,5.022222222222222,6.0777777777777775
transfer_old90,saved_plus_ddx_bayes10,ddxplus,5,transfer,10,10,1.0,7,0.7,3,0,19.0,19.0,23.1,11.0,5.0
transfer_old90,saved_plus_ddx_bayes10,ddxplus,10,transfer,10,10,1.0,8,0.8,2,0,19.9,19.0,25.2,11.9,9.0
transfer_old90,saved_plus_ddx_bayes10,ddxplus,15,transfer,10,10,1.0,9,0.9,1,0,20.7,21.0,24.2,12.7,11.4
transfer_old90,saved_plus_ddx_bayes10,icraft_md,5,transfer,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,3.2
