base_run,trigger_name,branch_budget,oracle_accuracy,base_accuracy,oracle_wins_vs_base,oracle_missed_even_with_pool,branch_rate,mean_branches_spawned
n24_base,premature_stop_guard,4,0.9183673469387755,0.9183673469387755,0,4,0.22448979591836735,0.8979591836734694
n24_base,graph_bayes_conflict,4,0.9183673469387755,0.9183673469387755,0,4,0.0,0.0
n24_base,strict_final_conflict,4,0.9183673469387755,0.9183673469387755,0,4,0.0,0.0
n24_base,hybrid_suspicion_v1,4,0.9183673469387755,0.9183673469387755,0,4,0.14285714285714285,0.5714285714285714
n24_base,broad_suspicion,4,0.9591836734693877,0.9183673469387755,2,2,0.2653061224489796,1.0612244897959184
n25_r01,never,0,0.8979591836734694,0.8979591836734694,0,5,0.0,0.0
n25_r01,never,1,0.8979591836734694,0.8979591836734694,0,5,0.0,0.0
n25_r01,disagreement_or_cap,1,0.8979591836734694,0.8979591836734694,0,5,0.12244897959183673,0.12244897959183673
n25_r01,premature_stop_guard,1,0.8979591836734694,0.8979591836734694,0,5,0.20408163265306123,0.20408163265306123
n25_r01,graph_bayes_conflict,1,0.9183673469387755,0.8979591836734694,1,4,0.02040816326530612,0.02040816326530612
n25_r01,strict_final_conflict,1,0.9183673469387755,0.8979591836734694,1,4,0.061224489795918366,0.061224489795918366
n25_r01,hybrid_suspicion_v1,1,0.9183673469387755,0.8979591836734694,1,4,0.20408163265306123,0.20408163265306123
n25_r01,broad_suspicion,1,0.9183673469387755,0.8979591836734694,1,4,0.2857142857142857,0.2857142857142857
n25_r01,never,2,0.8979591836734694,0.8979591836734694,0,5,0.0,0.0
n25_r01,disagreement_or_cap,2,0.8979591836734694,0.8979591836734694,0,5,0.12244897959183673,0.24489795918367346
n25_r01,premature_stop_guard,2,0.8979591836734694,0.8979591836734694,0,5,0.20408163265306123,0.40816326530612246
n25_r01,graph_bayes_conflict,2,0.9183673469387755,0.8979591836734694,1,4,0.02040816326530612,0.04081632653061224
n25_r01,strict_final_conflict,2,0.9183673469387755,0.8979591836734694,1,4,0.061224489795918366,0.12244897959183673
n25_r01,hybrid_suspicion_v1,2,0.9183673469387755,0.8979591836734694,1,4,0.20408163265306123,0.40816326530612246
n25_r01,broad_suspicion,2,0.9183673469387755,0.8979591836734694,1,4,0.2857142857142857,0.5714285714285714
n25_r01,never,4,0.8979591836734694,0.8979591836734694,0,5,0.0,0.0
n25_r01,disagreement_or_cap,4,0.8979591836734694,0.8979591836734694,0,5,0.12244897959183673,0.4897959183673469
n25_r01,premature_stop_guard,4,0.8979591836734694,0.8979591836734694,0,5,0.20408163265306123,0.8163265306122449
n25_r01,graph_bayes_conflict,4,0.9183673469387755,0.8979591836734694,1,4,0.02040816326530612,0.08163265306122448
n25_r01,strict_final_conflict,4,0.9183673469387755,0.8979591836734694,1,4,0.061224489795918366,0.24489795918367346
n25_r01,hybrid_suspicion_v1,4,0.9183673469387755,0.8979591836734694,1,4,0.20408163265306123,0.8163265306122449
n25_r01,broad_suspicion,4,0.9183673469387755,0.8979591836734694,1,4,0.2857142857142857,1.1428571428571428
n25_r02,never,0,0.8571428571428571,0.8571428571428571,0,7,0.0,0.0
n25_r02,never,1,0.8571428571428571,0.8571428571428571,0,7,0.0,0.0
n25_r02,disagreement_or_cap,1,0.8775510204081632,0.8571428571428571,1,6,0.10204081632653061,0.10204081632653061
n25_r02,premature_stop_guard,1,0.8571428571428571,0.8571428571428571,0,7,0.20408163265306123,0.20408163265306123
n25_r02,graph_bayes_conflict,1,0.8979591836734694,0.8571428571428571,2,5,0.061224489795918366,0.061224489795918366
n25_r02,strict_final_conflict,1,0.8979591836734694,0.8571428571428571,2,5,0.08163265306122448,0.08163265306122448
n25_r02,hybrid_suspicion_v1,1,0.8979591836734694,0.8571428571428571,2,5,0.20408163265306123,0.20408163265306123
n25_r02,broad_suspicion,1,0.8979591836734694,0.8571428571428571,2,5,0.2857142857142857,0.2857142857142857
n25_r02,never,2,0.8571428571428571,0.8571428571428571,0,7,0.0,0.0
n25_r02,disagreement_or_cap,2,0.8775510204081632,0.8571428571428571,1,6,0.10204081632653061,0.20408163265306123
n25_r02,premature_stop_guard,2,0.8571428571428571,0.8571428571428571,0,7,0.20408163265306123,0.40816326530612246
n25_r02,graph_bayes_conflict,2,0.8979591836734694,0.8571428571428571,2,5,0.061224489795918366,0.12244897959183673
n25_r02,strict_final_conflict,2,0.8979591836734694,0.8571428571428571,2,5,0.08163265306122448,0.16326530612244897
n25_r02,hybrid_suspicion_v1,2,0.8979591836734694,0.8571428571428571,2,5,0.20408163265306123,0.40816326530612246
n25_r02,broad_suspicion,2,0.8979591836734694,0.8571428571428571,2,5,0.2857142857142857,0.5714285714285714
n25_r02,never,4,0.8571428571428571,0.8571428571428571,0,7,0.0,0.0
n25_r02,disagreement_or_cap,4,0.8775510204081632,0.8571428571428571,1,6,0.10204081632653061,0.40816326530612246
n25_r02,premature_stop_guard,4,0.8571428571428571,0.8571428571428571,0,7,0.20408163265306123,0.8163265306122449
n25_r02,graph_bayes_conflict,4,0.9183673469387755,0.8571428571428571,3,4,0.061224489795918366,0.24489795918367346
n25_r02,strict_final_conflict,4,0.9183673469387755,0.8571428571428571,3,4,0.08163265306122448,0.32653061224489793
n25_r02,hybrid_suspicion_v1,4,0.9183673469387755,0.8571428571428571,3,4,0.20408163265306123,0.8163265306122449
n25_r02,broad_suspicion,4,0.9183673469387755,0.8571428571428571,3,4,0.2857142857142857,1.1428571428571428
