cohort,policy_name,dataset_name,budget,split,num_workups,candidate_pool_recall_count,candidate_pool_recall,current_pool_recall_count,current_pool_recall,recoveries_vs_current_pool,lost_truth_vs_current_pool,mean_pool_size,median_pool_size,p90_pool_size,mean_pool_size_delta,mean_questions
prospective90,saved_sources_union,ALL,-1,ALL,90,84,0.9333333333333333,82,0.9111111111111111,2,0,10.833333333333334,12.0,17.0,4.166666666666667,5.733333333333333
prospective90,saved_sources_union,ddxplus,5,ALL,10,10,1.0,10,1.0,0,0,16.1,16.5,19.1,8.1,4.6
prospective90,saved_sources_union,ddxplus,10,ALL,10,10,1.0,10,1.0,0,0,15.3,15.5,17.299999999999997,7.3,7.3
prospective90,saved_sources_union,ddxplus,15,ALL,10,10,1.0,10,1.0,0,0,16.2,15.0,20.2,8.2,9.2
prospective90,saved_sources_union,icraft_md,5,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,3.7
prospective90,saved_sources_union,icraft_md,10,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,5.2
prospective90,saved_sources_union,icraft_md,15,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,6.1
prospective90,saved_sources_union,rarebench,5,ALL,10,8,0.8,7,0.7,1,0,12.5,12.0,14.1,4.5,3.7
prospective90,saved_sources_union,rarebench,10,ALL,10,8,0.8,8,0.8,0,0,12.5,12.0,15.1,4.5,5.8
prospective90,saved_sources_union,rarebench,15,ALL,10,8,0.8,7,0.7,1,0,12.9,12.5,15.0,4.9,6.0
prospective90,saved_sources_union,ALL,-1,test,18,18,1.0,18,1.0,0,0,10.666666666666666,12.0,17.0,4.0,5.333333333333333
prospective90,saved_sources_union,ALL,-1,train,54,48,0.8888888888888888,46,0.8518518518518519,2,0,10.962962962962964,12.0,17.0,4.296296296296297,5.351851851851852
prospective90,saved_sources_union,ALL,-1,validate,18,18,1.0,18,1.0,0,0,10.61111111111111,12.0,16.0,3.9444444444444446,7.277777777777778
prospective90,saved_sources_union,ddxplus,5,test,2,2,1.0,2,1.0,0,0,16.5,16.5,16.9,8.5,4.0
prospective90,saved_sources_union,ddxplus,5,train,6,6,1.0,6,1.0,0,0,15.833333333333334,16.0,19.5,7.833333333333333,4.666666666666667
prospective90,saved_sources_union,ddxplus,5,validate,2,2,1.0,2,1.0,0,0,16.5,16.5,16.9,8.5,5.0
prospective90,saved_sources_union,ddxplus,10,test,2,2,1.0,2,1.0,0,0,15.0,15.0,16.6,7.0,7.0
prospective90,saved_sources_union,ddxplus,10,train,6,6,1.0,6,1.0,0,0,15.666666666666666,15.5,18.5,7.666666666666667,6.5
prospective90,saved_sources_union,ddxplus,10,validate,2,2,1.0,2,1.0,0,0,14.5,14.5,15.7,6.5,10.0
prospective90,saved_sources_union,ddxplus,15,test,2,2,1.0,2,1.0,0,0,16.0,16.0,16.8,8.0,10.0
prospective90,saved_sources_union,ddxplus,15,train,6,6,1.0,6,1.0,0,0,16.833333333333332,16.0,21.0,8.833333333333334,7.833333333333333
prospective90,saved_sources_union,ddxplus,15,validate,2,2,1.0,2,1.0,0,0,14.5,14.5,14.9,6.5,12.5
