policy_name,branch_trigger_threshold,continuation_value_threshold,max_branches,num_cases,candidate_pool_recall_count,candidate_pool_recall,num_correct,accuracy,mean_selected_requests,mean_total_replayed_requests,median_total_replayed_requests,p90_total_replayed_requests,p95_total_replayed_requests,max_total_replayed_requests,triggered_case_count_by_probability,branch_cases_with_saved_rows,branch_rows_replayed,extra_roots_total,overrides_applied,candidate_pool_misses,misses
adaptive_value_branching_v1,0.8058,0.15,3,49,49,1.0,48,0.9795918367346939,7.122448979591836,9.775510204081632,5.0,19.80000000000001,46.79999999999998,61.0,5,5,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8058,0.175,3,49,49,1.0,48,0.9795918367346939,7.122448979591836,9.775510204081632,5.0,19.80000000000001,46.79999999999998,61.0,5,5,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.80585,0.1,3,49,49,1.0,48,0.9795918367346939,7.122448979591836,9.775510204081632,5.0,19.80000000000001,46.79999999999998,61.0,5,5,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.80585,0.125,3,49,49,1.0,48,0.9795918367346939,7.122448979591836,9.775510204081632,5.0,19.80000000000001,46.79999999999998,61.0,5,5,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.80585,0.15,3,49,49,1.0,48,0.9795918367346939,7.122448979591836,9.775510204081632,5.0,19.80000000000001,46.79999999999998,61.0,5,5,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.80585,0.175,3,49,49,1.0,48,0.9795918367346939,7.122448979591836,9.775510204081632,5.0,19.80000000000001,46.79999999999998,61.0,5,5,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.225,0.1,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.225,0.125,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.225,0.15,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.225,0.175,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.5,0.1,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.5,0.125,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.5,0.15,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.5,0.175,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.75,0.1,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.75,0.125,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.75,0.15,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.75,0.175,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8,0.1,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8,0.125,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8,0.15,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8,0.175,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.805,0.1,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.805,0.125,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.805,0.15,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.805,0.175,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.959183673469388,5.0,19.80000000000001,46.79999999999998,61.0,6,6,9,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
fixed_budget_2_threshold_0_80,0.8,,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,6,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8058,0.075,3,49,49,1.0,48,0.9795918367346939,7.122448979591836,10.510204081632653,5.0,19.80000000000001,51.59999999999994,85.0,5,5,10,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.80585,0.075,3,49,49,1.0,48,0.9795918367346939,7.122448979591836,10.510204081632653,5.0,19.80000000000001,51.59999999999994,85.0,5,5,10,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8058,0.05,3,49,49,1.0,48,0.9795918367346939,7.122448979591836,10.63265306122449,5.0,19.80000000000001,51.59999999999994,85.0,5,5,11,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.80585,0.05,3,49,49,1.0,48,0.9795918367346939,7.122448979591836,10.63265306122449,5.0,19.80000000000001,51.59999999999994,85.0,5,5,11,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.225,0.075,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.693877551020408,5.0,19.80000000000001,51.59999999999994,85.0,6,6,11,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.5,0.075,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.693877551020408,5.0,19.80000000000001,51.59999999999994,85.0,6,6,11,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.75,0.075,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.693877551020408,5.0,19.80000000000001,51.59999999999994,85.0,6,6,11,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8,0.075,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.693877551020408,5.0,19.80000000000001,51.59999999999994,85.0,6,6,11,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.805,0.075,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.693877551020408,5.0,19.80000000000001,51.59999999999994,85.0,6,6,11,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.225,0.05,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.938775510204081,5.0,22.200000000000003,51.59999999999994,85.0,6,6,13,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
